bartels_rotation_number,rigidity_min GV,rigidity_max GV,proton_flux m^-2sr^-1s^-1GV^-1,proton_flux_error_statistical m^-2sr^-1s^-1GV^-1,proton_flux_error_timedependent m^-2sr^-1s^-1GV^-1,proton_flux_error_systematic_total m^-2sr^-1s^-1GV^-1
2449,1.92,2.97,4.188E+2,0.002E+2,0.008E+2,0.050E+2
2449,2.97,4.02,2.470E+2,0.001E+2,0.004E+2,0.027E+2
2449,4.02,4.88,1.577E+2,0.001E+2,0.003E+2,0.017E+2
2449,4.88,5.90,1.063E+2,0.000E+2,0.002E+2,0.011E+2
2449,5.90,7.09,7.047E+1,0.003E+1,0.013E+1,0.074E+1
2449,7.09,8.48,4.611E+1,0.002E+1,0.008E+1,0.049E+1
2449,8.48,11.00,2.701E+1,0.001E+1,0.004E+1,0.029E+1
2449,11.00,16.60,1.148E+1,0.001E+1,0.001E+1,0.013E+1
2449,16.60,22.80,4.330E+0,0.002E+0,0.005E+0,0.050E+0
2449,22.80,41.90,1.248E+0,0.001E+0,0.001E+0,0.015E+0
2450,1.00,1.92,6.219E+2,0.003E+2,0.025E+2,0.119E+2
2450,1.92,2.97,4.156E+2,0.002E+2,0.008E+2,0.050E+2
2450,2.97,4.02,2.433E+2,0.001E+2,0.004E+2,0.026E+2
2450,4.02,4.88,1.548E+2,0.001E+2,0.003E+2,0.016E+2
2450,4.88,5.90,1.045E+2,0.000E+2,0.002E+2,0.011E+2
2450,5.90,7.09,6.932E+1,0.003E+1,0.013E+1,0.073E+1
2450,7.09,8.48,4.544E+1,0.002E+1,0.009E+1,0.048E+1
2450,8.48,11.00,2.670E+1,0.001E+1,0.004E+1,0.029E+1
2450,11.00,16.60,1.138E+1,0.000E+1,0.001E+1,0.013E+1
2450,16.60,22.80,4.310E+0,0.002E+0,0.006E+0,0.049E+0
2450,22.80,41.90,1.246E+0,0.001E+0,0.001E+0,0.015E+0
2451,1.00,1.92,5.855E+2,0.003E+2,0.023E+2,0.112E+2
2451,1.92,2.97,3.966E+2,0.002E+2,0.007E+2,0.048E+2
2451,2.97,4.02,2.350E+2,0.001E+2,0.003E+2,0.025E+2
2451,4.02,4.88,1.506E+2,0.001E+2,0.002E+2,0.016E+2
2451,4.88,5.90,1.023E+2,0.000E+2,0.002E+2,0.011E+2
2451,5.90,7.09,6.819E+1,0.003E+1,0.011E+1,0.071E+1
2451,7.09,8.48,4.487E+1,0.002E+1,0.007E+1,0.047E+1
2451,8.48,11.00,2.648E+1,0.001E+1,0.003E+1,0.028E+1
2451,11.00,16.60,1.133E+1,0.001E+1,0.001E+1,0.012E+1
2451,16.60,22.80,4.300E+0,0.002E+0,0.005E+0,0.049E+0
