date YYY-MM-DD,rigidity_min GV,rigidity_max GV,electron_flux m^-2sr^-1s^-1GV^-1,electron_flux_error_statistical m^-2sr^-1s^-1GV^-1,electron_flux_error_timedependent m^-2sr^-1s^-1GV^-1,electron_flux_error_systematic_total m^-2sr^-1s^-1GV^-1
2011-6-1,5.90,7.09,8.376E-1,0.120E-1,0.084E-1,0.125E-1,
2011-6-1,7.09,8.48,4.763E-1,0.078E-1,0.048E-1,0.071E-1,
2011-6-1,8.48,11.00,2.458E-1,0.040E-1,0.025E-1,0.037E-1,
2011-6-1,11.00,16.60,8.300E-2,0.147E-2,0.083E-2,0.123E-2,
2011-6-1,16.60,22.80,2.459E-2,0.066E-2,0.025E-2,0.037E-2,
2011-6-1,22.80,41.90,6.084E-3,0.154E-3,0.061E-3,0.090E-3,
2011-6-2,1.00,1.71,2.064E+1,0.044E+1,0.041E+1,0.060E+1,
2011-6-2,1.71,2.97,9.817E+0,0.077E+0,0.147E+0,0.208E+0,
2011-6-2,2.97,4.02,4.214E+0,0.043E+0,0.042E+0,0.069E+0,
2011-6-2,4.02,5.90,1.814E+0,0.017E+0,0.018E+0,0.027E+0,
2011-6-2,5.90,7.09,8.133E-1,0.115E-1,0.081E-1,0.121E-1,
2011-6-2,7.09,8.48,4.737E-1,0.075E-1,0.047E-1,0.070E-1,
2011-6-2,8.48,11.00,2.504E-1,0.039E-1,0.025E-1,0.037E-1,
2011-6-2,11.00,16.60,8.177E-2,0.141E-2,0.082E-2,0.122E-2,
2011-6-2,16.60,22.80,2.423E-2,0.064E-2,0.024E-2,0.036E-2,
2011-6-2,22.80,41.90,5.879E-3,0.148E-3,0.059E-3,0.087E-3,
2011-6-3,1.00,1.71,2.206E+1,0.066E+1,0.044E+1,0.064E+1,
2011-6-3,1.71,2.97,1.052E+1,0.019E+1,0.016E+1,0.022E+1,
2011-6-3,2.97,4.02,4.627E+0,0.096E+0,0.046E+0,0.076E+0,
2011-6-3,4.02,5.90,1.968E+0,0.038E+0,0.020E+0,0.029E+0,
2011-6-3,5.90,7.09,8.006E-1,0.244E-1,0.080E-1,0.119E-1,
2011-6-3,7.09,8.48,4.758E-1,0.160E-1,0.048E-1,0.071E-1,
2011-6-3,8.48,11.00,2.2710E-1,0.077E-1,0.023E-1,0.034E-1,
2011-6-3,11.00,16.60,7.413E-2,0.267E-2,0.074E-2,0.110E-2,
2011-6-3,16.60,22.80,2.775E-2,0.136E-2,0.028E-2,0.041E-2,
2011-6-3,22.80,41.90,5.827E-3,0.323E-3,0.058E-3,0.087E-3,
2011-6-5,1.00,1.71,1.997E+1,0.082E+1,0.040E+1,0.058E+1,
2011-6-5,1.71,2.97,9.332E+0,0.084E+0,0.140E+0,0.198E+0,
2011-6-5,2.97,4.02,4.1210E+0,0.048E+0,0.041E+0,0.068E+0,
2011-6-5,4.02,5.90,1.817E+0,0.019E+0,0.018E+0,0.027E+0,
2011-6-5,5.90,7.09,8.017E-1,0.127E-1,0.080E-1,0.119E-1,
2011-6-5,7.09,8.48,4.564E-1,0.082E-1,0.046E-1,0.068E-1,
2011-6-5,8.48,11.00,2.355E-1,0.042E-1,0.024E-1,0.035E-1,
2011-6-5,11.00,16.60,8.386E-2,0.159E-2,0.084E-2,0.125E-2,
2011-6-5,16.60,22.80,2.552E-2,0.073E-2,0.026E-2,0.038E-2,
2011-6-5,22.80,41.90,5.820E-3,0.164E-3,0.058E-3,0.087E-3,
2011-6-6,1.00,1.71,1.843E+1,0.112E+1,0.037E+1,0.053E+1,
2011-6-6,1.71,2.97,9.489E+0,0.083E+0,0.142E+0,0.201E+0,
2011-6-6,2.97,4.02,4.163E+0,0.046E+0,0.042E+0,0.068E+0,
2011-6-6,4.02,5.90,1.786E+0,0.017E+0,0.018E+0,0.027E+0,
2011-6-6,5.90,7.09,8.074E-1,0.118E-1,0.081E-1,0.120E-1,
2011-6-6,7.09,8.48,4.543E-1,0.076E-1,0.045E-1,0.068E-1,
2011-6-6,8.48,11.00,2.3510E-1,0.039E-1,0.024E-1,0.035E-1,
2011-6-6,11.00,16.60,8.353E-2,0.145E-2,0.084E-2,0.124E-2,
2011-6-6,16.60,22.80,2.486E-2,0.065E-2,0.025E-2,0.037E-2,
2011-6-6,22.80,41.90,5.922E-3,0.149E-3,0.059E-3,0.088E-3,
2011-6-7,1.00,1.71,1.912E+1,0.057E+1,0.038E+1,0.055E+1,
2011-6-7,1.71,2.97,9.510E+0,0.089E+0,0.143E+0,0.202E+0,
2011-6-7,2.97,4.02,4.159E+0,0.047E+0,0.042E+0,0.068E+0,
2011-6-7,4.02,5.90,1.781E+0,0.018E+0,0.018E+0,0.026E+0,
2011-6-7,5.90,7.09,7.892E-1,0.118E-1,0.079E-1,0.117E-1,
2011-6-7,7.09,8.48,4.596E-1,0.077E-1,0.046E-1,0.068E-1,
2011-6-7,8.48,11.00,2.389E-1,0.039E-1,0.024E-1,0.036E-1,
2011-6-7,11.00,16.60,8.246E-2,0.146E-2,0.082E-2,0.123E-2,
2011-6-7,16.60,22.80,2.552E-2,0.067E-2,0.026E-2,0.038E-2,
2011-6-7,22.80,41.90,5.598E-3,0.148E-3,0.056E-3,0.083E-3,
2011-6-8,1.00,1.71,1.958E+1,0.045E+1,0.039E+1,0.057E+1,
2011-6-8,1.71,2.97,9.744E+0,0.079E+0,0.146E+0,0.207E+0,
2011-6-8,2.97,4.02,4.355E+0,0.045E+0,0.044E+0,0.071E+0,
2011-6-8,4.02,5.90,1.871E+0,0.018E+0,0.019E+0,0.028E+0,
2011-6-8,5.90,7.09,8.332E-1,0.119E-1,0.083E-1,0.124E-1,
2011-6-8,7.09,8.48,4.715E-1,0.077E-1,0.047E-1,0.070E-1,
2011-6-8,8.48,11.00,2.452E-1,0.039E-1,0.025E-1,0.036E-1,
2011-6-8,11.00,16.60,8.338E-2,0.146E-2,0.083E-2,0.124E-2,
2011-6-8,16.60,22.80,2.452E-2,0.065E-2,0.025E-2,0.036E-2,
2011-6-8,22.80,41.90,5.945E-3,0.152E-3,0.059E-3,0.088E-3,
2011-6-9,1.00,1.71,2.118E+1,0.065E+1,0.042E+1,0.061E+1,
2011-6-9,1.71,2.97,9.887E+0,0.078E+0,0.148E+0,0.210E+0,
2011-6-9,2.97,4.02,4.440E+0,0.044E+0,0.044E+0,0.073E+0,
2011-6-9,4.02,5.90,1.855E+0,0.017E+0,0.019E+0,0.028E+0,
2011-6-9,5.90,7.09,8.0310E-1,0.112E-1,0.080E-1,0.120E-1,
2011-6-9,7.09,8.48,4.873E-1,0.075E-1,0.049E-1,0.072E-1,
2011-6-9,8.48,11.00,2.444E-1,0.038E-1,0.024E-1,0.036E-1,
2011-6-9,11.00,16.60,8.506E-2,0.142E-2,0.085E-2,0.126E-2,
2011-6-9,16.60,22.80,2.596E-2,0.066E-2,0.026E-2,0.039E-2,
2011-6-9,22.80,41.90,5.831E-3,0.147E-3,0.058E-3,0.087E-3,
2011-6-10,1.00,1.71,1.929E+1,0.109E+1,0.039E+1,0.056E+1,
2011-6-10,1.71,2.97,9.635E+0,0.076E+0,0.145E+0,0.204E+0,
2011-6-10,2.97,4.02,4.243E+0,0.042E+0,0.042E+0,0.070E+0,
2011-6-10,4.02,5.90,1.826E+0,0.016E+0,0.018E+0,0.027E+0,
2011-6-10,5.90,7.09,7.971E-1,0.111E-1,0.080E-1,0.118E-1,
2011-6-10,7.09,8.48,4.832E-1,0.074E-1,0.048E-1,0.072E-1,
2011-6-10,8.48,11.00,2.408E-1,0.037E-1,0.024E-1,0.036E-1,
2011-6-10,11.00,16.60,8.168E-2,0.137E-2,0.082E-2,0.121E-2,
2011-6-10,16.60,22.80,2.542E-2,0.063E-2,0.025E-2,0.038E-2,
2011-6-10,22.80,41.90,5.522E-3,0.140E-3,0.055E-3,0.082E-3,
2011-6-11,1.00,1.71,1.982E+1,0.060E+1,0.040E+1,0.057E+1,
2011-6-11,1.71,2.97,9.253E+0,0.081E+0,0.139E+0,0.196E+0,
2011-6-11,2.97,4.02,4.143E+0,0.045E+0,0.041E+0,0.068E+0,
2011-6-11,4.02,5.90,1.807E+0,0.017E+0,0.018E+0,0.027E+0,
2011-6-11,5.90,7.09,8.034E-1,0.118E-1,0.080E-1,0.119E-1,
2011-6-11,7.09,8.48,4.621E-1,0.076E-1,0.046E-1,0.069E-1,
2011-6-11,8.48,11.00,2.324E-1,0.039E-1,0.023E-1,0.035E-1,
2011-6-11,11.00,16.60,8.241E-2,0.145E-2,0.082E-2,0.123E-2,
2011-6-11,16.60,22.80,2.439E-2,0.065E-2,0.024E-2,0.036E-2,
2011-6-11,22.80,41.90,6.071E-3,0.153E-3,0.061E-3,0.090E-3,
2011-6-12,1.00,1.71,2.024E+1,0.088E+1,0.040E+1,0.059E+1,
2011-6-12,1.71,2.97,1.006E+1,0.008E+1,0.015E+1,0.021E+1,
2011-6-12,2.97,4.02,4.298E+0,0.043E+0,0.043E+0,0.070E+0,
2011-6-12,4.02,5.90,1.843E+0,0.017E+0,0.018E+0,0.027E+0,
2011-6-12,5.90,7.09,8.398E-1,0.124E-1,0.084E-1,0.125E-1,
2011-6-12,7.09,8.48,4.781E-1,0.081E-1,0.048E-1,0.071E-1,
2011-6-12,8.48,11.00,2.370E-1,0.041E-1,0.024E-1,0.035E-1,
2011-6-12,11.00,16.60,8.575E-2,0.158E-2,0.086E-2,0.127E-2,
2011-6-12,16.60,22.80,2.414E-2,0.071E-2,0.024E-2,0.036E-2,
2011-6-12,22.80,41.90,5.794E-3,0.164E-3,0.058E-3,0.086E-3,
2011-6-13,1.00,1.71,2.128E+1,0.062E+1,0.043E+1,0.062E+1,
2011-6-13,1.71,2.97,1.028E+1,0.008E+1,0.015E+1,0.022E+1,
2011-6-13,2.97,4.02,4.346E+0,0.045E+0,0.043E+0,0.071E+0,
2011-6-13,4.02,5.90,1.854E+0,0.017E+0,0.019E+0,0.028E+0,
2011-6-13,5.90,7.09,8.321E-1,0.115E-1,0.083E-1,0.124E-1,
2011-6-13,7.09,8.48,4.693E-1,0.074E-1,0.047E-1,0.070E-1,
2011-6-13,8.48,11.00,2.462E-1,0.038E-1,0.025E-1,0.037E-1,
2011-6-13,11.00,16.60,8.612E-2,0.144E-2,0.086E-2,0.128E-2,
2011-6-13,16.60,22.80,2.519E-2,0.064E-2,0.025E-2,0.037E-2,
2011-6-13,22.80,41.90,5.941E-3,0.149E-3,0.059E-3,0.088E-3,
2011-6-14,1.00,1.71,2.133E+1,0.064E+1,0.043E+1,0.062E+1,
2011-6-14,1.71,2.97,1.053E+1,0.008E+1,0.016E+1,0.022E+1,
2011-6-14,2.97,4.02,4.502E+0,0.043E+0,0.045E+0,0.074E+0,
2011-6-14,4.02,5.90,1.911E+0,0.017E+0,0.019E+0,0.028E+0,
2011-6-14,5.90,7.09,8.365E-1,0.114E-1,0.084E-1,0.124E-1,
2011-6-14,7.09,8.48,4.896E-1,0.075E-1,0.049E-1,0.073E-1,
2011-6-14,8.48,11.00,2.442E-1,0.038E-1,0.024E-1,0.036E-1,
2011-6-14,11.00,16.60,8.874E-2,0.145E-2,0.089E-2,0.132E-2,
2011-6-14,16.60,22.80,2.544E-2,0.064E-2,0.025E-2,0.038E-2,
2011-6-14,22.80,41.90,5.908E-3,0.147E-3,0.059E-3,0.088E-3,
2011-6-15,1.00,1.71,2.214E+1,0.045E+1,0.044E+1,0.064E+1,
2011-6-15,1.71,2.97,1.009E+1,0.007E+1,0.015E+1,0.021E+1,
2011-6-15,2.97,4.02,4.403E+0,0.042E+0,0.044E+0,0.072E+0,
2011-6-15,4.02,5.90,1.843E+0,0.016E+0,0.018E+0,0.027E+0,
2011-6-15,5.90,7.09,8.123E-1,0.112E-1,0.081E-1,0.121E-1,
2011-6-15,7.09,8.48,4.674E-1,0.073E-1,0.047E-1,0.069E-1,
2011-6-15,8.48,11.00,2.444E-1,0.038E-1,0.024E-1,0.036E-1,
2011-6-15,11.00,16.60,8.685E-2,0.143E-2,0.087E-2,0.129E-2,
2011-6-15,16.60,22.80,2.591E-2,0.064E-2,0.026E-2,0.039E-2,
2011-6-15,22.80,41.90,5.870E-3,0.144E-3,0.059E-3,0.087E-3,
2011-6-16,1.00,1.71,2.139E+1,0.052E+1,0.043E+1,0.062E+1,
2011-6-16,1.71,2.97,1.031E+1,0.008E+1,0.015E+1,0.022E+1,
2011-6-16,2.97,4.02,4.492E+0,0.047E+0,0.045E+0,0.074E+0,
2011-6-16,4.02,5.90,1.920E+0,0.018E+0,0.019E+0,0.029E+0,
2011-6-16,5.90,7.09,8.512E-1,0.126E-1,0.085E-1,0.127E-1,
2011-6-16,7.09,8.48,4.797E-1,0.081E-1,0.048E-1,0.071E-1,
2011-6-16,8.48,11.00,2.479E-1,0.042E-1,0.025E-1,0.037E-1,
2011-6-16,11.00,16.60,8.561E-2,0.155E-2,0.086E-2,0.127E-2,
2011-6-16,16.60,22.80,2.566E-2,0.070E-2,0.026E-2,0.038E-2,
2011-6-16,22.80,41.90,5.885E-3,0.160E-3,0.059E-3,0.087E-3,
2011-6-17,1.00,1.71,2.116E+1,0.065E+1,0.042E+1,0.061E+1,
2011-6-17,1.71,2.97,1.022E+1,0.008E+1,0.015E+1,0.022E+1,
2011-6-17,2.97,4.02,4.435E+0,0.044E+0,0.044E+0,0.073E+0,
2011-6-17,4.02,5.90,1.887E+0,0.017E+0,0.019E+0,0.028E+0,
2011-6-17,5.90,7.09,8.253E-1,0.117E-1,0.083E-1,0.123E-1,
2011-6-17,7.09,8.48,4.937E-1,0.078E-1,0.049E-1,0.073E-1,
2011-6-17,8.48,11.00,2.416E-1,0.039E-1,0.024E-1,0.036E-1,
2011-6-17,11.00,16.60,8.328E-2,0.145E-2,0.083E-2,0.124E-2,
2011-6-17,16.60,22.80,2.494E-2,0.065E-2,0.025E-2,0.037E-2,
2011-6-17,22.80,41.90,5.700E-3,0.148E-3,0.057E-3,0.085E-3,
2011-6-18,1.00,1.71,2.093E+1,0.050E+1,0.042E+1,0.061E+1,
2011-6-18,1.71,2.97,9.9610E+0,0.074E+0,0.150E+0,0.211E+0,
2011-6-18,2.97,4.02,4.278E+0,0.043E+0,0.043E+0,0.070E+0,
2011-6-18,4.02,5.90,1.812E+0,0.018E+0,0.018E+0,0.027E+0,
2011-6-18,5.90,7.09,8.177E-1,0.125E-1,0.082E-1,0.122E-1,
2011-6-18,7.09,8.48,4.7310E-1,0.083E-1,0.047E-1,0.070E-1,
2011-6-18,8.48,11.00,2.317E-1,0.042E-1,0.023E-1,0.034E-1,
2011-6-18,11.00,16.60,8.418E-2,0.161E-2,0.084E-2,0.125E-2,
2011-6-18,16.60,22.80,2.551E-2,0.075E-2,0.026E-2,0.038E-2,
2011-6-18,22.80,41.90,5.537E-3,0.165E-3,0.055E-3,0.082E-3,
2011-6-19,1.00,1.71,2.115E+1,0.048E+1,0.042E+1,0.061E+1,
2011-6-19,1.71,2.97,9.923E+0,0.076E+0,0.149E+0,0.210E+0,
2011-6-19,2.97,4.02,4.299E+0,0.042E+0,0.043E+0,0.071E+0,
2011-6-19,4.02,5.90,1.7910E+0,0.016E+0,0.018E+0,0.027E+0,
2011-6-19,5.90,7.09,8.106E-1,0.114E-1,0.081E-1,0.121E-1,
2011-6-19,7.09,8.48,4.809E-1,0.076E-1,0.048E-1,0.071E-1,
2011-6-19,8.48,11.00,2.368E-1,0.038E-1,0.024E-1,0.035E-1,
2011-6-19,11.00,16.60,8.241E-2,0.144E-2,0.082E-2,0.123E-2,
2011-6-19,16.60,22.80,2.469E-2,0.065E-2,0.025E-2,0.037E-2,
2011-6-19,22.80,41.90,5.416E-3,0.145E-3,0.054E-3,0.081E-3,
2011-6-20,1.00,1.71,2.187E+1,0.080E+1,0.044E+1,0.063E+1,
2011-6-20,1.71,2.97,1.008E+1,0.007E+1,0.015E+1,0.021E+1,
2011-6-20,2.97,4.02,4.350E+0,0.041E+0,0.044E+0,0.071E+0,
2011-6-20,4.02,5.90,1.846E+0,0.016E+0,0.018E+0,0.027E+0,
2011-6-20,5.90,7.09,8.3310E-1,0.112E-1,0.083E-1,0.124E-1,
2011-6-20,7.09,8.48,4.722E-1,0.073E-1,0.047E-1,0.070E-1,
2011-6-20,8.48,11.00,2.363E-1,0.037E-1,0.024E-1,0.035E-1,
