bartels_rotation_number,rigidity_min GV,rigidity_max GV,antiproton_flux m^-2sr^-1s^-1GV^-1,antiproton_flux_error_statistical m^-2sr^-1s^-1GV^-1, antiproton_flux_error_systematic_timedependent m^-2sr^-1s^-1GV^-1,antiproton_flux_error_systematic_total m^-2sr^-1s^-1GV^-1
2456,4.02,4.88,1.35E-2,0.06E-2,0.01E-2,0.06E-2
2456,4.88,5.90,1.18E-2,0.05E-2,0.01E-2,0.05E-2
2456,5.90,7.09,9.12E-3,0.34E-3,0.15E-3,0.40E-3
2456,7.09,8.48,6.74E-3,0.24E-3,0.08E-3,0.28E-3
2456,8.48,11.00,4.14E-3,0.13E-3,0.05E-3,0.16E-3
2456,11.00,16.60,2.10E-3,0.06E-3,0.02E-3,0.08E-3
2456,16.60,22.80,8.40E-4,0.31E-4,0.16E-4,0.31E-4
2456,22.80,41.90,2.37E-4,0.08E-4,0.03E-4,0.08E-4
2457,1.00,1.92,8.16E-3,1.08E-3,0.40E-3,0.77E-3
2457,1.92,2.97,1.42E-2,0.11E-2,0.06E-2,0.11E-2
2457,2.97,4.02,1.34E-2,0.11E-2,0.03E-2,0.07E-2
2457,4.02,4.88,1.29E-2,0.06E-2,0.01E-2,0.06E-2
2457,4.88,5.90,1.20E-2,0.05E-2,0.01E-2,0.05E-2
