bartels_rotation_number,rigidity_min GV,rigidity_max GV,proton_flux m^-2sr^-1s^-1GV^-1,proton_flux_error_statistical m^-2sr^-1s^-1GV^-1,proton_flux_error_timedependent m^-2sr^-1s^-1GV^-1,proton_flux_error_systematic_total m^-2sr^-1s^-1GV^-1,center_date
2561,11.0,16.6,11.85,0.01,0.02,0.13,2021-05-20
2561,16.6,22.8,4.389,0.003,0.007,0.051,2021-05-20
2561,22.8,41.9,1.252,0.001,0.002,0.015,2021-05-20
2562,1.0,1.92,1366.0,1.0,2.0,26.0,2021-06-16
2562,1.92,2.97,658.0,0.3,1.1,7.9,2021-06-16
2562,2.97,4.02,325.6,0.2,0.6,3.5,2021-06-16
2562,4.02,4.88,191.4,0.1,0.4,2.0,2021-06-16
2562,4.88,5.9,123.3,0.1,0.3,1.3,2021-06-16
2562,5.9,7.09,78.78,0.05,0.18,0.84,2021-06-16
2562,7.09,8.48,50.19,0.03,0.12,0.54,2021-06-16
2562,8.48,11.0,28.69,0.02,0.05,0.31,2021-06-16
2562,11.0,16.6,11.88,0.01,0.02,0.13,2021-06-16
2562,16.6,22.8,4.412,0.003,0.007,0.051,2021-06-16
2562,22.8,41.9,1.252,0.001,0.002,0.015,2021-06-16
2563,1.0,1.92,1364.0,1.0,2.0,26.0,2021-07-13
2563,1.92,2.97,652.8,0.3,1.1,7.9,2021-07-13
2563,2.97,4.02,322.9,0.2,0.6,3.5,2021-07-13
2563,4.02,4.88,189.8,0.1,0.5,2.0,2021-07-13
2563,4.88,5.9,122.3,0.1,0.3,1.3,2021-07-13
2563,5.9,7.09,78.18,0.06,0.19,0.83,2021-07-13
2563,7.09,8.48,49.81,0.04,0.12,0.53,2021-07-13
2563,8.48,11.0,28.47,0.02,0.06,0.31,2021-07-13
2563,11.0,16.6,11.81,0.01,0.02,0.13,2021-07-13
2563,16.6,22.8,4.388,0.004,0.008,0.051,2021-07-13
2563,22.8,41.9,1.25,0.001,0.002,0.015,2021-07-13
2564,1.0,1.92,1370.0,1.0,2.0,27.0,2021-08-09
2564,1.92,2.97,657.7,0.3,1.2,8.0,2021-08-09
2564,2.97,4.02,325.1,0.1,0.7,3.5,2021-08-09
2564,4.02,4.88,190.9,0.1,0.5,2.0,2021-08-09
2564,4.88,5.9,122.9,0.1,0.3,1.3,2021-08-09
2564,5.9,7.09,78.57,0.05,0.2,0.84,2021-08-09
2564,7.09,8.48,50.08,0.03,0.12,0.54,2021-08-09
2564,8.48,11.0,28.59,0.02,0.06,0.31,2021-08-09
2564,11.0,16.6,11.84,0.01,0.02,0.13,2021-08-09
2564,16.6,22.8,4.409,0.003,0.008,0.051,2021-08-09
2564,22.8,41.9,1.252,0.001,0.002,0.015,2021-08-09
2565,1.0,1.92,1399.0,1.0,2.0,27.0,2021-09-05
2565,1.92,2.97,664.4,0.3,1.2,8.0,2021-09-05
2565,2.97,4.02,327.5,0.1,0.7,3.6,2021-09-05
2565,4.02,4.88,192.1,0.1,0.5,2.1,2021-09-05
2565,4.88,5.9,123.6,0.1,0.3,1.3,2021-09-05
2565,5.9,7.09,79.06,0.05,0.21,0.84,2021-09-05
2565,7.09,8.48,50.38,0.03,0.13,0.54,2021-09-05
2565,8.48,11.0,28.76,0.02,0.06,0.31,2021-09-05
2565,11.0,16.6,11.91,0.01,0.02,0.13,2021-09-05
2565,16.6,22.8,4.42,0.003,0.008,0.051,2021-09-05
2565,22.8,41.9,1.257,0.001,0.002,0.015,2021-09-05
2566,1.0,1.92,1342.0,1.0,2.0,26.0,2021-10-02
2566,1.92,2.97,647.7,0.3,1.1,7.8,2021-10-02
2566,2.97,4.02,321.5,0.2,0.6,3.5,2021-10-02
2566,4.02,4.88,189.3,0.1,0.4,2.0,2021-10-02
2566,4.88,5.9,121.9,0.1,0.3,1.3,2021-10-02
2566,5.9,7.09,78.17,0.06,0.17,0.83,2021-10-02
2566,7.09,8.48,49.78,0.04,0.11,0.53,2021-10-02
2566,8.48,11.0,28.52,0.02,0.05,0.31,2021-10-02
2566,11.0,16.6,11.84,0.01,0.02,0.13,2021-10-02
2566,16.6,22.8,4.4,0.004,0.007,0.051,2021-10-02
2566,22.8,41.9,1.249,0.001,0.002,0.015,2021-10-02
2567,1.0,1.92,1251.0,1.0,2.0,24.0,2021-10-29
2567,1.92,2.97,616.5,0.3,1.0,7.4,2021-10-29
2567,2.97,4.02,310.1,0.2,0.5,3.3,2021-10-29
2567,4.02,4.88,183.3,0.1,0.4,1.9,2021-10-29
2567,4.88,5.9,118.9,0.1,0.3,1.2,2021-10-29
2567,5.9,7.09,76.4,0.05,0.16,0.81,2021-10-29
2567,7.09,8.48,48.89,0.04,0.1,0.52,2021-10-29
2567,8.48,11.0,28.11,0.02,0.05,0.3,2021-10-29
2567,11.0,16.6,11.71,0.01,0.02,0.13,2021-10-29
2567,16.6,22.8,4.364,0.003,0.006,0.05,2021-10-29
2567,22.8,41.9,1.245,0.001,0.001,0.015,2021-10-29
2568,1.0,1.92,1302.0,1.0,1.0,25.0,2021-11-25
2568,1.92,2.97,636.2,0.2,0.7,7.6,2021-11-25
2568,2.97,4.02,317.7,0.1,0.4,3.4,2021-11-25
2568,4.02,4.88,187.4,0.1,0.3,2.0,2021-11-25
2568,4.88,5.9,121.1,0.1,0.2,1.3,2021-11-25
2568,5.9,7.09,77.52,0.04,0.12,0.81,2021-11-25
2568,7.09,8.48,49.5,0.03,0.07,0.52,2021-11-25
2568,8.48,11.0,28.32,0.02,0.03,0.3,2021-11-25
2568,11.0,16.6,11.76,0.01,0.01,0.13,2021-11-25
2568,16.6,22.8,4.363,0.003,0.005,0.05,2021-11-25
2568,22.8,41.9,1.248,0.001,0.001,0.015,2021-11-25
2569,1.0,1.92,1330.0,1.0,2.0,26.0,2021-12-22
2569,1.92,2.97,644.2,0.2,1.1,7.8,2021-12-22
2569,2.97,4.02,320.2,0.1,0.6,3.5,2021-12-22
2569,4.02,4.88,188.6,0.1,0.4,2.0,2021-12-22
2569,4.88,5.9,121.7,0.1,0.3,1.3,2021-12-22
2569,5.9,7.09,77.98,0.04,0.18,0.83,2021-12-22
2569,7.09,8.48,49.66,0.03,0.12,0.53,2021-12-22
2569,8.48,11.0,28.43,0.01,0.05,0.31,2021-12-22
2569,11.0,16.6,11.78,0.01,0.02,0.13,2021-12-22
2569,16.6,22.8,4.367,0.003,0.007,0.05,2021-12-22
2569,22.8,41.9,1.246,0.001,0.002,0.015,2021-12-22
2570,1.0,1.92,1307.0,0.0,2.0,25.0,2022-01-18
2570,1.92,2.97,633.8,0.2,0.9,7.6,2022-01-18
2570,2.97,4.02,316.2,0.1,0.5,3.4,2022-01-18
2570,4.02,4.88,186.5,0.1,0.4,2.0,2022-01-18
2570,4.88,5.9,120.6,0.1,0.2,1.3,2022-01-18
2570,5.9,7.09,77.23,0.04,0.16,0.81,2022-01-18
2570,7.09,8.48,49.32,0.03,0.1,0.52,2022-01-18
2570,8.48,11.0,28.25,0.01,0.05,0.3,2022-01-18
2570,11.0,16.6,11.73,0.01,0.02,0.13,2022-01-18
2570,16.6,22.8,4.363,0.003,0.006,0.05,2022-01-18
2570,22.8,41.9,1.244,0.001,0.001,0.015,2022-01-18
2571,1.0,1.92,1262.0,1.0,2.0,24.0,2022-02-14
2571,1.92,2.97,619.4,0.2,0.8,7.4,2022-02-14
2571,2.97,4.02,310.8,0.1,0.5,3.3,2022-02-14
2571,4.02,4.88,183.9,0.1,0.3,1.9,2022-02-14
2571,4.88,5.9,119.1,0.1,0.2,1.2,2022-02-14
2571,5.9,7.09,76.41,0.04,0.13,0.8,2022-02-14
2571,7.09,8.48,48.86,0.03,0.09,0.52,2022-02-14
2571,8.48,11.0,28.01,0.01,0.04,0.3,2022-02-14
2571,11.0,16.6,11.65,0.01,0.01,0.13,2022-02-14
2571,16.6,22.8,4.341,0.003,0.005,0.05,2022-02-14
2571,22.8,41.9,1.243,0.001,0.001,0.015,2022-02-14
2572,1.0,1.92,1240.0,1.0,2.0,24.0,2022-03-13
2572,1.92,2.97,612.4,0.2,0.9,7.4,2022-03-13
2572,2.97,4.02,308.6,0.1,0.5,3.3,2022-03-13
2572,4.02,4.88,182.8,0.1,0.4,1.9,2022-03-13
2572,4.88,5.9,118.5,0.1,0.2,1.2,2022-03-13
2572,5.9,7.09,76.17,0.04,0.15,0.8,2022-03-13
2572,7.09,8.48,48.67,0.03,0.1,0.52,2022-03-13
2572,8.48,11.0,27.98,0.01,0.05,0.3,2022-03-13
2572,11.0,16.6,11.64,0.01,0.01,0.13,2022-03-13
2572,16.6,22.8,4.328,0.003,0.006,0.05,2022-03-13
2572,22.8,41.9,1.238,0.001,0.001,0.015,2022-03-13
2573,1.0,1.92,1172.0,0.0,2.0,23.0,2022-04-09
2573,1.92,2.97,592.0,0.2,0.9,7.1,2022-04-09
2573,2.97,4.02,301.6,0.1,0.5,3.3,2022-04-09
2573,4.02,4.88,179.7,0.1,0.4,1.9,2022-04-09
2573,4.88,5.9,117.0,0.1,0.2,1.2,2022-04-09
2573,5.9,7.09,75.42,0.04,0.16,0.8,2022-04-09
2573,7.09,8.48,48.29,0.03,0.1,0.51,2022-04-09
2573,8.48,11.0,27.81,0.01,0.05,0.3,2022-04-09
2573,11.0,16.6,11.61,0.01,0.02,0.13,2022-04-09
2573,16.6,22.8,4.334,0.003,0.007,0.05,2022-04-09
2573,22.8,41.9,1.242,0.001,0.001,0.015,2022-04-09
2574,1.0,1.92,1130.0,0.0,2.0,22.0,2022-05-06
2574,1.92,2.97,573.0,0.2,1.3,7.0,2022-05-06
2574,2.97,4.02,293.5,0.1,0.7,3.2,2022-05-06
2574,4.02,4.88,175.8,0.1,0.5,1.9,2022-05-06
2574,4.88,5.9,114.7,0.1,0.3,1.2,2022-05-06
2574,5.9,7.09,74.1,0.04,0.22,0.8,2022-05-06
2574,7.09,8.48,47.67,0.02,0.14,0.52,2022-05-06
2574,8.48,11.0,27.46,0.01,0.07,0.3,2022-05-06
2574,11.0,16.6,11.51,0.01,0.02,0.13,2022-05-06
2574,16.6,22.8,4.306,0.002,0.009,0.05,2022-05-06
2574,22.8,41.9,1.234,0.001,0.002,0.015,2022-05-06
2575,1.0,1.92,1038.0,0.0,2.0,20.0,2022-06-02
2575,1.92,2.97,541.6,0.2,0.8,6.5,2022-06-02
2575,2.97,4.02,282.6,0.1,0.5,3.0,2022-06-02
2575,4.02,4.88,171.0,0.1,0.4,1.8,2022-06-02
2575,4.88,5.9,112.4,0.1,0.2,1.2,2022-06-02
2575,5.9,7.09,72.99,0.04,0.15,0.77,2022-06-02
2575,7.09,8.48,47.02,0.02,0.1,0.5,2022-06-02
2575,8.48,11.0,27.18,0.01,0.05,0.29,2022-06-02
2575,11.0,16.6,11.4,0.01,0.02,0.13,2022-06-02
2575,16.6,22.8,4.273,0.002,0.006,0.049,2022-06-02
2575,22.8,41.9,1.226,0.001,0.001,0.014,2022-06-02
