Date_Time,North_Pole_Field_Gauss,South_Pole_Field_Gauss,Average_Field_Gauss,North_Filtered_Gauss,South_Filtered_Gauss,Average_Filtered_Gauss
2004:12:30_21h:07m:13s,-58N,75S,-67Avg,-55Nf,54Sf,-54Avgf
2005:01:09_21h:07m:13s,-38N,96S,-67Avg,-54Nf,53Sf,-54Avgf
2005:01:19_21h:07m:13s,-23N,71S,-47Avg,-54Nf,53Sf,-54Avgf
2005:01:29_21h:07m:13s,-32N,72S,-52Avg,-54Nf,53Sf,-53Avgf
2005:02:08_21h:07m:13s,-38N,66S,-52Avg,-53Nf,53Sf,-53Avgf
2005:02:18_21h:07m:13s,-47N,80S,-63Avg,-53Nf,53Sf,-53Avgf
2005:02:28_21h:07m:13s,-10N,75S,-43Avg,-53Nf,53Sf,-53Avgf
2005:03:10_21h:07m:13s,-14N,84S,-49Avg,-52Nf,53Sf,-53Avgf
2005:03:20_21h:07m:13s,-16N,87S,-52Avg,-52Nf,54Sf,-53Avgf
2005:03:30_21h:07m:13s,-23N,83S,-53Avg,-51Nf,54Sf,-53Avgf
2005:04:09_21h:07m:13s,-31N,75S,-53Avg,-51Nf,54Sf,-52Avgf
2005:04:19_21h:07m:13s,-29N,64S,-47Avg,-50Nf,54Sf,-52Avgf
2005:04:29_21h:07m:13s,-28N,59S,-43Avg,-50Nf,55Sf,-52Avgf
2005:05:09_21h:07m:13s,-30N,55S,-43Avg,-49Nf,55Sf,-52Avgf
2005:05:19_21h:07m:13s,-42N,66S,-54Avg,-49Nf,55Sf,-52Avgf
2005:05:29_21h:07m:13s,-54N,56S,-55Avg,-49Nf,55Sf,-52Avgf
2005:06:08_21h:07m:13s,-63N,48S,-56Avg,-48Nf,56Sf,-52Avgf
2005:06:18_21h:07m:13s,-65N,40S,-53Avg,-48Nf,56Sf,-52Avgf
2005:06:28_21h:07m:13s,-64N,47S,-55Avg,-47Nf,56Sf,-52Avgf
2005:07:08_21h:07m:13s,-69N,52S,-61Avg,-47Nf,57Sf,-52Avgf
2005:07:18_21h:07m:13s,-73N,50S,-61Avg,-47Nf,57Sf,-52Avgf
