Date_Time,North_Pole_Field_Gauss,South_Pole_Field_Gauss,Average_Field_Gauss,North_Filtered_Gauss,South_Filtered_Gauss,Average_Filtered_Gauss
2018:03:22_21h:07m:13s,37N,-94S,66Avg,60Nf,-69Sf,64Avgf
2018:04:01_21h:07m:13s,44N,-86S,65Avg,60Nf,-69Sf,64Avgf
2018:04:11_21h:07m:13s,48N,-89S,69Avg,60Nf,-69Sf,64Avgf
2018:04:21_21h:07m:13s,51N,-80S,65Avg,60Nf,-68Sf,64Avgf
2018:05:01_21h:07m:13s,56N,-84S,70Avg,60Nf,-68Sf,64Avgf
2018:05:11_21h:07m:13s,58N,-80S,69Avg,61Nf,-68Sf,64Avgf
2018:05:21_21h:07m:13s,62N,-79S,71Avg,61Nf,-67Sf,64Avgf
2018:05:31_21h:07m:13s,60N,-70S,65Avg,61Nf,-67Sf,64Avgf
2018:06:10_21h:07m:13s,68N,-67S,67Avg,61Nf,-67Sf,64Avgf
2018:06:20_21h:07m:13s,70N,-68S,69Avg,61Nf,-66Sf,64Avgf
2018:06:30_21h:07m:13s,71N,-62S,67Avg,62Nf,-66Sf,64Avgf
2018:07:10_21h:07m:13s,73N,-53S,63Avg,62Nf,-66Sf,64Avgf
2018:07:20_21h:07m:13s,79N,-45S,62Avg,62Nf,-65Sf,64Avgf
2018:07:30_21h:07m:13s,79N,-44S,61Avg,62Nf,-65Sf,64Avgf
2018:08:09_21h:07m:13s,78N,-42S,60Avg,62Nf,-64Sf,63Avgf
2018:08:19_21h:07m:13s,84N,-40S,62Avg,63Nf,-64Sf,63Avgf
2018:08:29_21h:07m:13s,88N,-40S,64Avg,63Nf,-64Sf,63Avgf
2018:09:08_21h:07m:13s,86N,-38S,62Avg,63Nf,-63Sf,63Avgf
2018:09:18_21h:07m:13s,81N,-34S,58Avg,64Nf,-63Sf,63Avgf
2018:09:28_21h:07m:13s,79N,-34S,56Avg,64Nf,-62Sf,63Avgf
2018:10:08_21h:07m:13s,77N,-40S,59Avg,64Nf,-62Sf,63Avgf
2018:10:18_21h:07m:13s,71N,-42S,56Avg,65Nf,-61Sf,63Avgf
2018:10:28_21h:07m:13s,73N,-42S,58Avg,65Nf,-61Sf,63Avgf
2018:11:07_21h:07m:13s,76N,-40S,58Avg,65Nf,-61Sf,63Avgf
2018:11:17_21h:07m:13s,82N,-45S,63Avg,66Nf,-60Sf,63Avgf
2018:11:27_21h:07m:13s,69N,-49S,59Avg,66Nf,-60Sf,63Avgf
2018:12:07_21h:07m:13s,56N,-57S,56Avg,66Nf,-59Sf,63Avgf
2018:12:17_21h:07m:13s,60N,-65S,62Avg,67Nf,-59Sf,63Avgf
2018:12:27_21h:07m:13s,57N,-66S,62Avg,67Nf,-59Sf,63Avgf
2019:01:06_21h:07m:13s,59N,-66S,63Avg,68Nf,-59Sf,63Avgf
2019:01:16_21h:07m:13s,48N,-78S,63Avg,68Nf,-58Sf,63Avgf
2019:01:26_21h:07m:13s,46N,-85S,65Avg,69Nf,-58Sf,63Avgf
2019:02:05_21h:07m:13s,46N,-87S,67Avg,69Nf,-58Sf,63Avgf
2019:02:15_21h:07m:13s,45N,-82S,64Avg,69Nf,-58Sf,63Avgf
2019:02:25_21h:07m:13s,43N,-88S,65Avg,70Nf,-57Sf,64Avgf
2019:03:07_21h:07m:13s,47N,-76S,62Avg,70Nf,-57Sf,64Avgf
2019:03:17_21h:07m:13s,46N,-75S,61Avg,71Nf,-57Sf,64Avgf
2019:03:27_21h:07m:13s,50N,-78S,64Avg,71Nf,-57Sf,64Avgf
2019:04:06_21h:07m:13s,52N,-82S,67Avg,71Nf,-57Sf,64Avgf
2019:04:16_21h:07m:13s,59N,-72S,66Avg,72Nf,-57Sf,64Avgf
2019:04:26_21h:07m:13s,60N,-69S,65Avg,72Nf,-57Sf,64Avgf
2019:05:06_21h:07m:13s,64N,-66S,65Avg,72Nf,-57Sf,64Avgf
2019:05:16_21h:07m:13s,66N,-63S,65Avg,73Nf,-57Sf,65Avgf
2019:05:26_21h:07m:13s,73N,-58S,66Avg,73Nf,-56Sf,65Avgf
2019:06:05_21h:07m:13s,75N,-57S,66Avg,73Nf,-56Sf,65Avgf
2019:06:15_21h:07m:13s,77N,-57S,67Avg,73Nf,-56Sf,65Avgf
2019:06:25_21h:07m:13s,83N,-48S,65Avg,73Nf,-56Sf,65Avgf
2019:07:05_21h:07m:13s,84N,-49S,66Avg,74Nf,-56Sf,65Avgf
2019:07:15_21h:07m:13s,84N,-48S,66Avg,74Nf,-56Sf,65Avgf
2019:07:25_21h:07m:13s,86N,-46S,66Avg,74Nf,-56Sf,65Avgf
2019:08:04_21h:07m:13s,90N,-38S,64Avg,74Nf,-56Sf,65Avgf
2019:08:14_21h:07m:13s,94N,-36S,65Avg,74Nf,-56Sf,65Avgf
2019:08:24_21h:07m:13s,94N,-34S,64Avg,74Nf,-56Sf,65Avgf
2019:09:03_21h:07m:13s,102N,-34S,68Avg,74Nf,-55Sf,65Avgf
2019:09:13_21h:07m:13s,104N,-35S,70Avg,74Nf,-55Sf,65Avgf
2019:09:23_21h:07m:13s,103N,-38S,71Avg,74Nf,-55Sf,65Avgf
2019:10:03_21h:07m:13s,98N,-38S,68Avg,74Nf,-55Sf,65Avgf
2019:10:13_21h:07m:13s,97N,-36S,66Avg,74Nf,-55Sf,64Avgf
2019:10:23_21h:07m:13s,94N,-42S,68Avg,74Nf,-54Sf,64Avgf
2019:11:02_21h:07m:13s,83N,-46S,64Avg,74Nf,-54Sf,64Avgf
2019:11:12_21h:07m:13s,80N,-48S,64Avg,74Nf,-54Sf,64Avgf
2019:11:22_21h:07m:13s,73N,-46S,60Avg,73Nf,-54Sf,64Avgf
2019:12:02_21h:07m:13s,81N,-42S,61Avg,73Nf,-53Sf,63Avgf
2019:12:12_21h:07m:13s,62N,-60S,61Avg,73Nf,-53Sf,63Avgf
2019:12:22_21h:07m:13s,62N,-60S,61Avg,73Nf,-53Sf,63Avgf
2020:01:01_21h:07m:13s,54N,-53S,54Avg,72Nf,-53Sf,62Avgf
2020:01:11_21h:07m:13s,XXXN,XXXS,XXXAvg,XXXNf,XXXSf,XXXAvgf
2020:01:21_21h:07m:13s,XXXN,XXXS,XXXAvg,XXXNf,XXXSf,XXXAvgf
2020:01:31_21h:07m:13s,48N,-89S,69Avg,71Nf,-52Sf,62Avgf
2020:02:10_21h:07m:13s,45N,-77S,61Avg,70Nf,-52Sf,61Avgf
2020:02:20_21h:07m:13s,43N,-76S,59Avg,70Nf,-52Sf,61Avgf
2020:03:01_21h:07m:13s,39N,-71S,55Avg,69Nf,-52Sf,61Avgf
2020:03:11_21h:07m:13s,35N,-76S,56Avg,69Nf,-52Sf,60Avgf
2020:03:21_21h:07m:13s,42N,-69S,55Avg,68Nf,-52Sf,60Avgf
2020:03:31_21h:07m:13s,48N,-61S,55Avg,67Nf,-52Sf,60Avgf
2020:04:10_21h:07m:13s,51N,-65S,58Avg,67Nf,-52Sf,59Avgf
2020:04:20_21h:07m:13s,51N,-67S,59Avg,66Nf,-52Sf,59Avgf
2020:04:30_21h:07m:13s,51N,-63S,57Avg,66Nf,-52Sf,59Avgf
2020:05:10_21h:07m:13s,53N,-59S,56Avg,65Nf,-52Sf,59Avgf
2020:05:20_21h:07m:13s,53N,-61S,57Avg,64Nf,-53Sf,58Avgf
2020:05:30_21h:07m:13s,63N,-58S,61Avg,64Nf,-53Sf,58Avgf
2020:06:09_21h:07m:13s,66N,-55S,60Avg,63Nf,-53Sf,58Avgf
2020:06:19_21h:07m:13s,72N,-46S,59Avg,62Nf,-53Sf,58Avgf
2020:06:29_21h:07m:13s,74N,-43S,58Avg,62Nf,-53Sf,57Avgf
2020:07:09_21h:07m:13s,79N,-40S,59Avg,61Nf,-53Sf,57Avgf
2020:07:19_21h:07m:13s,82N,-36S,59Avg,61Nf,-54Sf,57Avgf
2020:07:29_21h:07m:13s,82N,-35S,58Avg,60Nf,-54Sf,57Avgf
2020:08:08_21h:07m:13s,84N,-34S,59Avg,60Nf,-54Sf,57Avgf
2020:08:18_21h:07m:13s,82N,-38S,60Avg,59Nf,-54Sf,57Avgf
2020:08:28_21h:07m:13s,78N,-38S,58Avg,59Nf,-54Sf,56Avgf
2020:09:07_21h:07m:13s,80N,-33S,57Avg,58Nf,-54Sf,56Avgf
2020:09:17_21h:07m:13s,79N,-28S,54Avg,58Nf,-54Sf,56Avgf
2020:09:27_21h:07m:13s,79N,-29S,54Avg,58Nf,-54Sf,56Avgf
2020:10:07_21h:07m:13s,76N,-38S,57Avg,57Nf,-54Sf,56Avgf
2020:10:17_21h:07m:13s,77N,-45S,61Avg,57Nf,-54Sf,56Avgf
2020:10:27_21h:07m:13s,72N,-46S,59Avg,57Nf,-54Sf,56Avgf
2020:11:06_21h:07m:13s,63N,-49S,56Avg,57Nf,-54Sf,56Avgf
2020:11:16_21h:07m:13s,60N,-49S,54Avg,57Nf,-54Sf,55Avgf
2020:11:26_21h:07m:13s,55N,-52S,54Avg,57Nf,-54Sf,55Avgf
2020:12:06_21h:07m:13s,56N,-57S,57Avg,56Nf,-54Sf,55Avgf
2020:12:16_21h:07m:13s,49N,-61S,55Avg,56Nf,-54Sf,55Avgf
2020:12:26_21h:07m:13s,50N,-66S,58Avg,56Nf,-54Sf,55Avgf
2021:01:05_21h:07m:13s,40N,-64S,52Avg,56Nf,-54Sf,55Avgf
2021:01:15_21h:07m:13s,35N,-72S,54Avg,56Nf,-53Sf,55Avgf
2021:01:25_21h:07m:13s,24N,-65S,45Avg,56Nf,-53Sf,55Avgf
2021:02:04_21h:07m:13s,17N,-59S,38Avg,56Nf,-53Sf,55Avgf
2021:02:14_21h:07m:13s,30N,-75S,53Avg,56Nf,-53Sf,54Avgf
2021:02:24_21h:07m:13s,35N,-79S,57Avg,56Nf,-53Sf,54Avgf
2021:03:06_21h:07m:13s,35N,-77S,56Avg,56Nf,-53Sf,54Avgf
2021:03:16_21h:07m:13s,34N,-67S,51Avg,56Nf,-53Sf,54Avgf
2021:03:26_21h:07m:13s,40N,-69S,54Avg,55Nf,-52Sf,54Avgf
2021:04:05_21h:07m:13s,40N,-69S,54Avg,55Nf,-52Sf,54Avgf
2021:04:15_21h:07m:13s,40N,-70S,55Avg,55Nf,-52Sf,54Avgf
2021:04:25_21h:07m:13s,43N,-71S,57Avg,55Nf,-52Sf,53Avgf
2021:05:05_21h:07m:13s,47N,-67S,57Avg,55Nf,-52Sf,53Avgf
2021:05:15_21h:07m:13s,52N,-62S,57Avg,55Nf,-52Sf,53Avgf
2021:05:25_21h:07m:13s,53N,-54S,53Avg,54Nf,-51Sf,53Avgf
2021:06:04_21h:07m:13s,63N,-53S,58Avg,54Nf,-51Sf,53Avgf
2021:06:14_21h:07m:13s,59N,-44S,52Avg,54Nf,-51Sf,53Avgf
2021:06:24_21h:07m:13s,62N,-42S,52Avg,54Nf,-51Sf,52Avgf
2021:07:04_21h:07m:13s,65N,-36S,51Avg,54Nf,-51Sf,52Avgf
2021:07:14_21h:07m:13s,78N,-35S,56Avg,54Nf,-51Sf,52Avgf
2021:07:24_21h:07m:13s,75N,-29S,52Avg,53Nf,-51Sf,52Avgf
2021:08:03_21h:07m:13s,75N,-30S,53Avg,53Nf,-51Sf,52Avgf
2021:08:13_21h:07m:13s,72N,-29S,51Avg,53Nf,-50Sf,52Avgf
2021:08:23_21h:07m:13s,75N,-25S,50Avg,53Nf,-50Sf,52Avgf
2021:09:02_21h:07m:13s,76N,-22S,49Avg,53Nf,-50Sf,51Avgf
2021:09:12_21h:07m:13s,73N,-23S,48Avg,53Nf,-50Sf,51Avgf
2021:09:22_21h:07m:13s,78N,-22S,50Avg,52Nf,-50Sf,51Avgf
2021:10:02_21h:07m:13s,73N,-26S,49Avg,52Nf,-50Sf,51Avgf
2021:10:12_21h:07m:13s,72N,-27S,50Avg,52Nf,-49Sf,51Avgf
2021:10:22_21h:07m:13s,63N,-35S,49Avg,52Nf,-49Sf,51Avgf
2021:11:01_21h:07m:13s,61N,-36S,48Avg,52Nf,-49Sf,50Avgf
2021:11:11_21h:07m:13s,62N,-43S,53Avg,52Nf,-49Sf,50Avgf
2021:11:21_21h:07m:13s,61N,-46S,54Avg,52Nf,-48Sf,50Avgf
2021:12:01_21h:07m:13s,59N,-48S,53Avg,52Nf,-48Sf,50Avgf
2021:12:11_21h:07m:13s,51N,-45S,48Avg,52Nf,-48Sf,50Avgf
2021:12:21_21h:07m:13s,38N,-48S,43Avg,52Nf,-47Sf,49Avgf
2021:12:31_21h:07m:13s,32N,-61S,47Avg,52Nf,-47Sf,49Avgf
2022:01:10_21h:07m:13s,28N,-65S,47Avg,52Nf,-46Sf,49Avgf
2022:01:20_21h:07m:13s,21N,-76S,49Avg,51Nf,-46Sf,49Avgf
2022:01:30_21h:07m:13s,24N,-69S,47Avg,51Nf,-46Sf,48Avgf
2022:02:09_21h:07m:13s,21N,-74S,48Avg,51Nf,-45Sf,48Avgf
2022:02:19_21h:07m:13s,26N,-72S,49Avg,51Nf,-45Sf,48Avgf
2022:03:01_21h:07m:13s,18N,-85S,51Avg,50Nf,-44Sf,47Avgf
2022:03:11_21h:07m:13s,12N,-58S,35Avg,50Nf,-43Sf,47Avgf
2022:03:21_21h:07m:13s,22N,-54S,38Avg,50Nf,-43Sf,46Avgf
2022:03:31_21h:07m:13s,21N,-51S,36Avg,49Nf,-42Sf,46Avgf
2022:04:10_21h:07m:13s,23N,-54S,38Avg,49Nf,-42Sf,45Avgf
2022:04:20_21h:07m:13s,33N,-61S,47Avg,48Nf,-41Sf,45Avgf
2022:04:30_21h:07m:13s,38N,-58S,48Avg,48Nf,-40Sf,44Avgf
2022:05:10_21h:07m:13s,40N,-53S,46Avg,47Nf,-39Sf,43Avgf
2022:05:20_21h:07m:13s,44N,-48S,46Avg,46Nf,-38Sf,42Avgf
2022:05:30_21h:07m:13s,49N,-39S,44Avg,45Nf,-38Sf,41Avgf
2022:06:09_21h:07m:13s,52N,-30S,41Avg,44Nf,-37Sf,40Avgf
2022:06:19_21h:07m:13s,55N,-28S,42Avg,43Nf,-36Sf,39Avgf
2022:06:29_21h:07m:13s,59N,-24S,42Avg,42Nf,-35Sf,38Avgf
2022:07:09_21h:07m:13s,67N,-20S,43Avg,41Nf,-34Sf,37Avgf
2022:07:19_21h:07m:13s,63N,-13S,38Avg,40Nf,-33Sf,36Avgf
2022:07:29_21h:07m:13s,65N,-2S,34Avg,38Nf,-32Sf,35Avgf
2022:08:08_21h:07m:13s,69N,6S,31Avg,37Nf,-31Sf,34Avgf
2022:08:18_21h:07m:13s,75N,17S,29Avg,35Nf,-29Sf,32Avgf
2022:08:28_21h:07m:13s,78N,-0S,39Avg,33Nf,-28Sf,31Avgf
2022:09:07_21h:07m:13s,XXXN,XXXS,XXXAvg,XXXNf,XXXSf,XXXAvgf
2022:09:17_21h:07m:13s,XXXN,XXXS,XXXAvg,XXXNf,XXXSf,XXXAvgf
2022:09:27_21h:07m:13s,XXXN,XXXS,XXXAvg,XXXNf,XXXSf,XXXAvgf
2022:10:07_21h:07m:13s,XXXN,XXXS,XXXAvg,XXXNf,XXXSf,XXXAvgf
2022:10:17_21h:07m:13s,XXXN,XXXS,XXXAvg,XXXNf,XXXSf,XXXAvgf
2022:10:27_21h:07m:13s,XXXN,XXXS,XXXAvg,XXXNf,XXXSf,XXXAvgf
2022:11:06_21h:07m:13s,61N,30S,15Avg,21Nf,-20Sf,20Avgf
2022:11:16_21h:07m:13s,44N,5S,19Avg,19Nf,-19Sf,19Avgf
2022:11:26_21h:07m:13s,44N,-2S,23Avg,17Nf,-18Sf,18Avgf
2022:12:06_21h:07m:13s,15N,-29S,22Avg,16Nf,-17Sf,16Avgf
2022:12:16_21h:07m:13s,23N,2S,11Avg,14Nf,-16Sf,15Avgf
2022:12:26_21h:07m:13s,17N,-2S,10Avg,12Nf,-15Sf,14Avgf
2023:01:05_21h:07m:13s,2N,-10S,6Avg,11Nf,-15Sf,13Avgf
2023:01:15_21h:07m:13s,-10N,-24S,7Avg,9Nf,-14Sf,12Avgf
2023:01:25_21h:07m:13s,-13N,-23S,5Avg,8Nf,-13Sf,11Avgf
2023:02:04_21h:07m:13s,-21N,-30S,5Avg,7Nf,-13Sf,10Avgf
2023:02:14_21h:07m:13s,-30N,-36S,3Avg,6Nf,-12Sf,9Avgf
2023:02:24_21h:07m:13s,-29N,-39S,5Avg,5Nf,-11Sf,8Avgf
2023:03:06_21h:07m:13s,XXXN,XXXS,XXXAvg,XXXNf,XXXSf,XXXAvgf
2023:03:16_21h:07m:13s,-9N,-34S,12Avg,3Nf,-10Sf,7Avgf
2023:03:26_21h:07m:13s,-13N,-35S,11Avg,2Nf,-10Sf,6Avgf
2023:04:05_21h:07m:13s,-17N,-36S,9Avg,1Nf,-9Sf,5Avgf
2023:04:15_21h:07m:13s,-21N,-36S,8Avg,1Nf,-9Sf,5Avgf
2023:04:25_21h:07m:13s,-22N,-37S,7Avg,0Nf,-8Sf,4Avgf
2023:05:05_21h:07m:13s,-23N,-30S,4Avg,-0Nf,-8Sf,4Avgf
2023:05:15_21h:07m:13s,-33N,-28S,-2Avg,-0Nf,-7Sf,4Avgf
2023:05:25_21h:07m:13s,-24N,-21S,-1Avg,-1Nf,-7Sf,3Avgf
2023:06:04_21h:07m:13s,-5N,-18S,6Avg,-1Nf,-6Sf,3Avgf
2023:06:14_21h:07m:13s,-9N,-13S,2Avg,-1Nf,-6Sf,2Avgf
2023:06:24_21h:07m:13s,3N,-8S,6Avg,-1Nf,-5Sf,2Avgf
2023:07:04_21h:07m:13s,18N,8S,5Avg,-1Nf,-5Sf,2Avgf
2023:07:14_21h:07m:13s,26N,1S,12Avg,-1Nf,-4Sf,2Avgf
2023:07:24_21h:07m:13s,20N,4S,8Avg,-1Nf,-3Sf,1Avgf
2023:08:03_21h:07m:13s,20N,5S,8Avg,-1Nf,-3Sf,1Avgf
2023:08:13_21h:07m:13s,21N,14S,3Avg,-0Nf,-2Sf,1Avgf
2023:08:23_21h:07m:13s,28N,20S,4Avg,-0Nf,-1Sf,1Avgf
2023:09:02_21h:07m:13s,17N,16S,1Avg,0Nf,-1Sf,0Avgf
2023:09:12_21h:07m:13s,19N,18S,1Avg,0Nf,0Sf,0Avgf
2023:09:22_21h:07m:13s,22N,17S,2Avg,1Nf,1Sf,-0Avgf
2023:10:02_21h:07m:13s,21N,11S,5Avg,1Nf,2Sf,-0Avgf
2023:10:12_21h:07m:13s,8N,14S,-3Avg,1Nf,3Sf,-1Avgf
2023:10:22_21h:07m:13s,9N,9S,0Avg,1Nf,3Sf,-1Avgf
2023:11:01_21h:07m:13s,14N,7S,4Avg,1Nf,4Sf,-1Avgf
2023:11:11_21h:07m:13s,4N,12S,-4Avg,1Nf,5Sf,-2Avgf
2023:11:21_21h:07m:13s,4N,14S,-5Avg,1Nf,6Sf,-2Avgf
2023:12:01_21h:07m:13s,-2N,23S,-13Avg,1Nf,6Sf,-3Avgf
2023:12:11_21h:07m:13s,6N,16S,-5Avg,1Nf,7Sf,-3Avgf
2023:12:21_21h:07m:13s,-5N,15S,-10Avg,1Nf,8Sf,-3Avgf
2023:12:31_21h:07m:13s,-23N,5S,-14Avg,1Nf,8Sf,-4Avgf
2024:01:10_21h:07m:13s,-23N,7S,-15Avg,0Nf,9Sf,-4Avgf
2024:01:20_21h:07m:13s,-11N,9S,-10Avg,-0Nf,10Sf,-5Avgf
2024:01:30_21h:07m:13s,XXXN,XXXS,XXXAvg,XXXNf,XXXSf,XXXAvgf
2024:02:09_21h:07m:13s,XXXN,XXXS,XXXAvg,XXXNf,XXXSf,XXXAvgf
2024:02:19_21h:07m:13s,XXXN,XXXS,XXXAvg,XXXNf,XXXSf,XXXAvgf
2024:02:29_21h:07m:13s,XXXN,XXXS,XXXAvg,XXXNf,XXXSf,XXXAvgf
2024:03:10_21h:07m:13s,-5N,-12S,4Avg,-4Nf,12Sf,-8Avgf
2024:03:20_21h:07m:13s,-1N,-11S,5Avg,-5Nf,12Sf,-9Avgf
2024:03:30_21h:07m:13s,-3N,-10S,4Avg,-6Nf,12Sf,-9Avgf
2024:04:09_21h:07m:13s,-4N,4S,-4Avg,-7Nf,12Sf,-10Avgf
2024:04:19_21h:07m:13s,-4N,2S,-3Avg,-8Nf,13Sf,-10Avgf
2024:04:29_21h:07m:13s,-11N,11S,-11Avg,-9Nf,13Sf,-11Avgf
2024:05:09_21h:07m:13s,-17N,8S,-12Avg,-10Nf,13Sf,-12Avgf
2024:05:19_21h:07m:13s,-18N,19S,-19Avg,-11Nf,13Sf,-12Avgf
2024:05:29_21h:07m:13s,-19N,15S,-17Avg,-13Nf,13Sf,-13Avgf
2024:06:08_21h:07m:13s,-16N,20S,-18Avg,-14Nf,13Sf,-13Avgf
2024:06:18_21h:07m:13s,-16N,20S,-18Avg,-15Nf,13Sf,-14Avgf
2024:06:28_21h:07m:13s,-8N,22S,-15Avg,-16Nf,13Sf,-14Avgf
2024:07:08_21h:07m:13s,-6N,22S,-14Avg,-17Nf,13Sf,-15Avgf
2024:07:18_21h:07m:13s,-5N,23S,-14Avg,-18Nf,13Sf,-15Avgf
2024:07:28_21h:07m:13s,-14N,18S,-16Avg,-19Nf,13Sf,-16Avgf
2024:08:07_21h:07m:13s,-12N,12S,-12Avg,-20Nf,12Sf,-16Avgf
2024:08:17_21h:07m:13s,-10N,8S,-9Avg,-20Nf,12Sf,-16Avgf
2024:08:27_21h:07m:13s,-10N,12S,-11Avg,-21Nf,12Sf,-17Avgf
2024:09:06_21h:07m:13s,-16N,13S,-14Avg,-22Nf,12Sf,-17Avgf
2024:09:16_21h:07m:13s,-14N,14S,-14Avg,-23Nf,12Sf,-18Avgf
2024:09:26_21h:07m:13s,-13N,10S,-11Avg,-24Nf,12Sf,-18Avgf
2024:10:06_21h:07m:13s,-12N,6S,-9Avg,-24Nf,13Sf,-18Avgf
2024:10:16_21h:07m:13s,-14N,5S,-10Avg,-25Nf,13Sf,-19Avgf
2024:10:26_21h:07m:13s,-18N,10S,-14Avg,-26Nf,13Sf,-19Avgf
2024:11:05_21h:07m:13s,-17N,14S,-16Avg,-26Nf,13Sf,-20Avgf
2024:11:15_21h:07m:13s,-27N,4S,-15Avg,-27Nf,13Sf,-20Avgf
2024:11:25_21h:07m:13s,-40N,-5S,-17Avg,-28Nf,13Sf,-20Avgf
2024:12:05_21h:07m:13s,-40N,-9S,-16Avg,-28Nf,13Sf,-21Avgf
2024:12:15_21h:07m:13s,-41N,-7S,-17Avg,-29Nf,13Sf,-21Avgf
2024:12:25_21h:07m:13s,-50N,26S,-38Avg,-29Nf,13Sf,-21Avgf
2025:01:04_21h:07m:13s,-49N,22S,-35Avg,-30Nf,14Sf,-22Avgf
2025:01:14_21h:07m:13s,-48N,18S,-33Avg,-30Nf,14Sf,-22Avgf
2025:01:24_21h:07m:13s,-44N,12S,-28Avg,-31Nf,14Sf,-22Avgf
2025:02:03_21h:07m:13s,-41N,10S,-26Avg,-32Nf,14Sf,-23Avgf
2025:02:13_21h:07m:13s,-32N,23S,-28Avg,-32Nf,14Sf,-23Avgf
2025:02:23_21h:07m:13s,-41N,27S,-34Avg,-33Nf,15Sf,-24Avgf
2025:03:05_21h:07m:13s,-35N,28S,-32Avg,-33Nf,15Sf,-24Avgf
2025:03:15_21h:07m:13s,-33N,32S,-32Avg,-34Nf,15Sf,-24Avgf
2025:03:25_21h:07m:13s,-21N,18S,-19Avg,-35Nf,15Sf,-25Avgf
