Carr Rot,Start Date,R_av,R_n,R_s,L_av,L_n,L_s
CR 1747,1984-03-30 12h,23.9,21.4,-26.3,42.5,41.7,-43.3
CR 1748,1984-04-26 19h,24.1,19.1,-29.1,40.3,35,-45.6
CR 1749,1984-05-24 02h,23.9,20,-27.8,41.1,37.3,-44.9
CR 1750,1984-06-20 08h,23.8,21.8,-25.9,42.1,40.4,-43.8
CR 1751,1984-07-17 15h,22.1,18.6,-25.6,38,34,-42
CR 1752,1984-08-13 21h,24.1,21.5,-26.8,38.9,35.1,-42.6
CR 1753,1984-09-10 04h,21.8,20.2,-23.5,36.8,33.3,-40.2
CR 1754,1984-10-07 11h,19,17.2,-20.8,34.1,31.6,-36.7
CR 1755,1984-11-03 17h,16.7,14.5,-18.8,32.2,30.8,-33.5
CR 1756,1984-12-01 00h,13,11,-14.9,27.6,25.9,-29.2
CR 1757,1984-12-28 07h,10.4,6.3,-14.5,23.7,19.6,-27.9
CR 1758,1985-01-24 13h,9,5.1,-12.8,19.7,17.9,-21.5
CR 1759,1985-02-20 20h,6.3,1.5,-11.1,16.9,14,-19.7
CR 1760,1985-03-20 02h,6.4,3.2,-9.5,16.8,16.6,-16.9
CR 1761,1985-04-16 09h,5,2.3,-7.7,15.6,15.2,-15.9
CR 1762,1985-05-13 16h,5.7,4.5,-6.9,16.3,17.7,-14.9
CR 1763,1985-06-09 22h,6.8,6.9,-6.7,17.8,18.7,-16.8
CR 1764,1985-07-07 05h,7.1,7.7,-6.5,18.9,19.8,-17.9
CR 1765,1985-08-03 11h,6.7,7.1,-6.3,19.4,21.7,-17.1
CR 1766,1985-08-30 18h,7.8,8.1,-7.5,17.5,18.3,-16.8
CR 1767,1985-09-27 01h,8.8,11.2,-6.4,18.5,21.2,-15.9
CR 1768,1985-10-24 07h,7.7,8.6,-6.7,18.6,20.1,-17.1
CR 1769,1985-11-20 14h,6.9,5.1,-8.7,16.7,14.9,-18.6
CR 1770,1985-12-17 20h,6.9,4.2,-9.5,17,16.6,-17.4
CR 1771,1986-01-14 03h,6.9,3.2,-10.7,19.3,22.1,-16.6
CR 1772,1986-02-10 10h,8.1,0.1,-16,17.9,11.8,-23.9
CR 1773,1986-03-09 16h,7.7,0.5,-14.9,15.6,10.3,-20.9
CR 1774,1986-04-05 23h,6,1.7,-10.3,14.3,12.6,-16
CR 1775,1986-05-03 05h,4.2,1.4,-6.9,15.1,14.8,-15.4
CR 1776,1986-05-30 12h,4,1.8,-6.2,14.2,15.1,-13.3
CR 1777,1986-06-26 19h,3.8,2.6,-5,12.1,12.7,-11.6
CR 1778,1986-07-24 01h,4.5,4.7,-4.2,11.6,13.8,-9.4
CR 1779,1986-08-20 08h,3.6,4.8,-2.5,12,14.4,-9.6
CR 1780,1986-09-16 14h,3.8,4.5,-3.2,11.4,14.2,-8.6
CR 1781,1986-10-13 21h,7.3,9.9,-4.7,16.9,26.3,-7.4
CR 1782,1986-11-10 04h,4.9,5.4,-4.3,10,14.9,-5.2
CR 1783,1986-12-07 10h,5.1,4.6,-5.6,12.1,15.2,-8.9
CR 1784,1987-01-03 17h,3.9,0.7,-7,9,8.5,-9.4
CR 1785,1987-01-30 23h,3.3,-0.8,-7.4,9,7.5,-10.5
CR 1786,1987-02-27 06h,3.4,-0.5,-7.3,8.4,6.3,-10.5
CR 1787,1987-03-26 13h,3.7,1.5,-5.9,9.1,8.5,-9.7
CR 1788,1987-04-22 19h,4.8,2.8,-6.7,9.1,8.1,-10
CR 1789,1987-05-20 02h,9.7,7.9,-11.4,25.9,33.4,-18.4
CR 1790,1987-06-16 09h,9.7,8.5,-10.9,19.9,21.2,-18.6
CR 1791,1987-07-13 15h,11.6,12.7,-10.5,18.8,22.8,-14.7
CR 1792,1987-08-09 22h,15.8,18.5,-13.1,23.2,28.6,-17.9
CR 1793,1987-09-06 04h,21.3,18,-24.7,33.6,25.2,-42
CR 1794,1987-10-03 11h,15.3,16.8,-13.8,22.4,20.8,-23.9
CR 1795,1987-10-30 18h,14.5,14.1,-14.9,27.1,24.1,-30.2
CR 1796,1987-11-27 00h,10.8,10.5,-11,23.1,20.5,-25.6
CR 1797,1987-12-24 07h,11.2,11.4,-11,24.9,23.7,-26.2
CR 1798,1988-01-20 13h,14.6,12,-17.1,27.2,26,-28.5
CR 1799,1988-02-16 20h,19.8,21,-18.6,35.3,38.1,-32.5
