%OSF estimates from the combined ACE and Wind 128-second magnetic field and electron data. See the paper 'Estimating the Open Solar Flux from In-Situ Measurements' for more info.
%
%(Anna Frost, 06/04/22)
%
%Year	Month	Day	Hour	Minute	Second	OSF (x10^{14} Wb)	OSF minimum (x10^{14} Wb)	OSF maximum (x10^{14} Wb)	Absolute OSF error (x10^{14} Wb)	Open Flux (%)	Inverted Flux (%)	Newly-Opened Flux (%)	Disconnected Flux (%)	Available Data (%)
1997	3	28	12	49	58	6.190825191	5.893965861	6.48768452	4.795149602	61.03725587	17.30948082	13.28300235	8.370260955	99.30461238
1997	4	24	19	18	46	5.260063118	5.004877639	5.515248596	4.851376736	60.39028669	12.46505509	8.046922107	19.09773612	99.10903461
1997	5	22	1	47	34	3.703216168	3.525641815	3.880790521	4.795138742	49.69365427	18.33698031	16.26367615	15.70568928	99.30465015
1997	6	18	8	16	22	5.243426534	4.993716187	5.493136881	4.762350441	49.2568306	14.62295082	23.18579235	12.93442623	99.41869941
1997	7	15	14	45	10	4.977492973	4.744489883	5.210496062	4.681133469	46.8722755	15.23539669	21.77964255	16.11268527	99.70120063
1997	8	11	21	13	58	4.77792753	4.552848495	5.003006566	4.710808901	56.66284842	17.03485518	11.07838324	15.22391316	99.59797903
1997	9	8	3	42	46	6.495652858	6.187220725	6.80408499	4.748285342	44.40742764	14.21081376	30.13107591	11.25068269	99.46762277
1997	10	5	10	11	34	5.697456942	5.420250962	5.974662922	4.86543352	46.3090929	15.7946693	25.38115608	12.51508172	99.06014016
1997	11	1	16	40	22	5.855386441	5.562814435	6.147958446	4.996630166	58.1322314	18.01101928	17.10192837	6.754820937	98.60379204
1997	11	28	23	9	10	6.14456963	5.843306403	6.445832857	4.902918276	66.50741351	13.01482702	9.824272378	10.6534871	98.92975498
1997	12	26	5	37	58	5.863721726	5.573390291	6.154053162	4.951316741	60.79757976	18.66886689	10.96259626	9.570957096	98.76140808
1998	1	22	12	6	46	5.677175553	5.386769182	5.967581925	5.115331894	62.47578994	18.46051685	9.462675004	9.601018206	98.19090563
